projectMainBranch,newContributorCount,hasContrib,readmeUrl,recentContributorCount,recentCommitCount,originUrl
45621948,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:fe52e10cf63cb681e6080af5fff73b3379487489/raw/,0,0,deb://Debian/packages/python-daemonize
36067034,24,TRUE,null,89,2875,https://github.com/sympy/sympy
43968580,5,TRUE,null,17,146,https://github.com/GoogleCloudPlatform/python-docs-samples
43151479,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:60a1739ddbb32566d65d6aae1fb5c059a73b037c/raw/,5,87,https://github.com/NVlabs/SPADE
43160692,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:d09bdb41c3859c44176616056e4855a5167c8f68/raw/,3,114,https://github.com/OUCMachineLearning/OUCML
44225462,2,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:69f6c50d81318c641a24066c2f1315f6241d3e64/raw/,6,45,https://github.com/arrow-py/arrow
45351122,8,TRUE,null,0,0,https://github.com/heartexlabs/label-studio
45683823,1,TRUE,null,0,0,deb://Debian/packages/python-twitter
45586559,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:c96c30d39b8de3afb13b707ec11f097e9cf22cc7/raw/,5,62,https://github.com/victoresque/pytorch-template
42744464,1,TRUE,null,5,8,https://github.com/google-research/arxiv-latex-cleaner
45118390,4,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:3f88ad23e07b2933114199c10c01d5eabf52dbfa/raw/,2,8,https://github.com/iGhibli/iOS-DeviceSupport
42247351,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:a1f3664e440e3a1767f2d0b7d1c43cf0a663d394/raw/,0,0,https://pypi.org/project/pymongo/
44112491,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:98e1892ad05349a36000eec825affe82eb5721dd/raw/,0,0,https://pypi.org/project/sshtunnel/
42175679,1,TRUE,null,5,67,https://github.com/idealo/imagededup
40673136,2,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:bb8fecb280910336cc645868916633d3cc47c3be/raw/,5,26,https://github.com/graphql-python/graphene
40509362,10,TRUE,null,30,415,https://github.com/pypa/pip
43723320,12,TRUE,null,21,244,https://github.com/jupyterhub/jupyterhub
44565362,5,TRUE,null,19,2354,https://github.com/PrefectHQ/prefect
